Brand,Year,UsedOrNew,Transmission,FuelType,FuelConsumption,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineVolume,ExtCol,State,DriveFront,DriveRear
Volkswagen,2018.0,USED,Automatic,Premium,5.6,130647.0,4.0,Wagon,4.0,5.0,21880.0,1.4,White ,NSW,True,False
Audi,2019.0,USED,Automatic,Premium,7.2,47307.0,4.0,SUV,4.0,5.0,41888.0,1.4,White ,NSW,True,False
Nissan,2005.0,USED,Automatic,Unleaded,,69619.0,,Commercial,,,17900.0,,Black ,NSW,,
Toyota,2009.0,USED,Automatic,Unleaded,,128647.0,,Commercial,,,18900.0,,Silver ,NSW,,
Subaru,2016.0,USED,Automatic,Premium,7.3,74983.0,4.0,SUV,4.0,5.0,29990.0,2.5,Silver ,NSW,True,True
Mazda,2007.0,USED,Manual,Premium,8.8,102496.0,4.0,Hatchback,5.0,5.0,7920.0,2.3,Black ,NSW,True,False
Hyundai,2015.0,USED,Automatic,Unleaded,6.4,84924.0,4.0,Hatchback,5.0,5.0,14999.0,1.6,Silver ,NSW,True,False
Land,2013.0,USED,Automatic,Diesel,8.8,159558.0,6.0,SUV,4.0,5.0,38950.0,3.0,White ,NSW,True,True
Mercedes-Benz,2014.0,USED,Automatic,Premium,,98296.0,,Hatchback,,,16999.0,,Black ,NSW,True,False
Ford,2013.0,USED,Automatic,Unleaded,6.6,67590.0,4.0,Hatchback,5.0,5.0,12990.0,1.6,Silver ,NSW,True,False
Kia,2017.0,USED,Automatic,Unleaded,8.5,65502.0,4.0,SUV,4.0,5.0,29990.0,2.4,White ,NSW,True,True
Porsche,2010.0,USED,Automatic,Premium,10.5,193271.0,8.0,SUV,4.0,5.0,29990.0,4.8,White ,NSW,True,True
Porsche,2016.0,USED,Manual,Premium,10.3,23481.0,6.0,Coupe,2.0,2.0,214880.0,3.8,White ,NSW,False,True
Ford,2007.0,USED,Automatic,Unleaded,12.2,173839.0,6.0,SUV,4.0,5.0,8950.0,4.0,White ,NSW,True,True
Suzuki,2017.0,USED,Automatic,Premium,,55794.0,,Hatchback,,,26280.0,,Yellow ,NSW,True,False
Nissan,2016.0,USED,Automatic,Diesel,7.0,258936.0,4.0,Ute / Tray,4.0,5.0,21290.0,2.3,White ,NSW,True,True
